[?1034hType                                  Module                      Label             Process    
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ecal"            "reRECO"   
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "hcal"            "reRECO"   
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ho"              "reRECO"   
edm::ValueMap<reco::JetID>            "ak4JetID"                  ""                "reRECO"   
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "reRECO"   
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "reRECO"   
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "reRECO"   
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "reRECO"   
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "reRECO"   
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "reRECO"   
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedGsfElectrons"   "reRECO"   
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedPhotons"      "reRECO"   
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "reRECO"   
edmNew::DetSetVector<SiPixelCluster>    "siPixelClusters"           ""                "reRECO"   
edmNew::DetSetVector<SiStripCluster>    "siStripClusters"           ""                "reRECO"   
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "reRECO"   
reco::BeamSpot                        "offlineBeamSpot"           ""                "reRECO"   
reco::CSCHaloData                     "CSCHaloData"               ""                "reRECO"   
reco::EcalHaloData                    "EcalHaloData"              ""                "reRECO"   
reco::GlobalHaloData                  "GlobalHaloData"            ""                "reRECO"   
