[?1034hType                                  Module                      Label             Process    
reco::HcalHaloData                    "HcalHaloData"              ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDeadECALElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFinding"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFindingNewDMs"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFindingOldDMs"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3newDMwLTraw"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3newDMwoLTraw"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3oldDMwLTraw"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3oldDMwoLTraw"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseChargedIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr3Hits"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationMVA3newDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationMVA3newDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationMVA3oldDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationMVA3oldDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseMuonRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseMuonRejection2"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseMuonRejection3"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA5LooseElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA5MediumElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA5TightElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA5VLooseElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA5VTightElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA5rawElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVALooseMuonRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVAMediumMuonRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVATightMuonRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVArawMuonRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumChargedIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr3Hits"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationMVA3newDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationMVA3newDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationMVA3oldDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationMVA3oldDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumMuonRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumMuonRejection2"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawChargedIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr3Hits"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawGammaIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightChargedIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr3Hits"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightElectronRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationMVA3newDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationMVA3newDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationMVA3oldDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationMVA3oldDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightMuonRejection"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightMuonRejection2"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightMuonRejection3"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseChargedIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseCombinedIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationDBSumPtCorr"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationMVA3newDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationMVA3newDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationMVA3oldDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationMVA3oldDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVTightIsolationMVA3newDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVTightIsolationMVA3newDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVTightIsolationMVA3oldDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVTightIsolationMVA3oldDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVVTightIsolationMVA3newDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVVTightIsolationMVA3newDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVVTightIsolationMVA3oldDMwLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVVTightIsolationMVA3oldDMwoLT"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauMVA3IsolationChargedIsoPtSum"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauMVA3IsolationNeutralIsoPtSum"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauMVA3IsolationPUcorrPtSum"   ""                "reRECO"   
reco::PFTauDiscriminator              "pfTausDiscriminationByDecayModeFinding"   ""                "reRECO"   
reco::PFTauDiscriminator              "pfTausDiscriminationByIsolation"   ""                "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3newDMwLTraw"   "category"        "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3newDMwoLTraw"   "category"        "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3oldDMwLTraw"   "category"        "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByIsolationMVA3oldDMwoLTraw"   "category"        "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVA5rawElectronRejection"   "category"        "reRECO"   
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVArawMuonRejection"   "category"        "reRECO"   
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "reRECO"   
vector<DcsStatus>                     "scalersRawToDigi"          ""                "reRECO"   
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "reRECO"   
vector<L1GctEmCand>                   "gctDigis"                  "isoEm"           "reRECO"   
vector<L1GctEmCand>                   "gctDigis"                  "nonIsoEm"        "reRECO"   
vector<L1GctEtHad>                    "gctDigis"                  ""                "reRECO"   
vector<L1GctEtMiss>                   "gctDigis"                  ""                "reRECO"   
vector<L1GctEtTotal>                  "gctDigis"                  ""                "reRECO"   
vector<L1GctHFBitCounts>              "gctDigis"                  ""                "reRECO"   
vector<L1GctHFRingEtSums>             "gctDigis"                  ""                "reRECO"   
vector<L1GctHtMiss>                   "gctDigis"                  ""                "reRECO"   
vector<L1GctJetCand>                  "gctDigis"                  "cenJets"         "reRECO"   
vector<L1GctJetCand>                  "gctDigis"                  "forJets"         "reRECO"   
vector<L1GctJetCand>                  "gctDigis"                  "tauJets"         "reRECO"   
vector<L1GctJetCounts>                "gctDigis"                  ""                "reRECO"   
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "reRECO"   
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "reRECO"   
vector<LumiScalers>                   "scalersRawToDigi"          ""                "reRECO"   
vector<TrajectorySeed>                "CosmicMuonSeed"            ""                "reRECO"   
vector<TrajectorySeed>                "SETMuonSeed"               ""                "reRECO"   
vector<TrajectorySeed>                "ancientMuonSeed"           ""                "reRECO"   
vector<TrajectorySeed>                "displacedMuonSeeds"        ""                "reRECO"   
vector<double>                        "ak4CaloJets"               "rhos"            "reRECO"   
vector<double>                        "ak4PFJets"                 "rhos"            "reRECO"   
vector<double>                        "ak4PFJetsCHS"              "rhos"            "reRECO"   
vector<double>                        "ak4TrackJets"              "rhos"            "reRECO"   
vector<double>                        "ak5CastorJets"             "rhos"            "reRECO"   
vector<double>                        "ak7CastorJets"             "rhos"            "reRECO"   
vector<double>                        "ak8PFJetsCHS"              "rhos"            "reRECO"   
vector<double>                        "ak8PFJetsCHSSoftDrop"      "rhos"            "reRECO"   
vector<double>                        "cmsTopTagPFJetsCHS"        "rhos"            "reRECO"   
vector<double>                        "ak4CaloJets"               "sigmas"          "reRECO"   
vector<double>                        "ak4PFJets"                 "sigmas"          "reRECO"   
vector<double>                        "ak4PFJetsCHS"              "sigmas"          "reRECO"   
vector<double>                        "ak4TrackJets"              "sigmas"          "reRECO"   
vector<double>                        "ak5CastorJets"             "sigmas"          "reRECO"   
vector<double>                        "ak7CastorJets"             "sigmas"          "reRECO"   
vector<double>                        "ak8PFJetsCHS"              "sigmas"          "reRECO"   
vector<double>                        "ak8PFJetsCHSSoftDrop"      "sigmas"          "reRECO"   
vector<double>                        "cmsTopTagPFJetsCHS"        "sigmas"          "reRECO"   
vector<edm::ErrorSummaryEntry>        "logErrorHarvester"         ""                "reRECO"   
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowPtrs"          ""                "reRECO"   
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowTmpPtrs"       ""                "reRECO"   
vector<edm::FwdPtr<reco::PFCandidate> >    "pfIsolatedElectronsEI"     ""                "reRECO"   
vector<edm::FwdPtr<reco::PFCandidate> >    "pfIsolatedMuonsEI"         ""                "reRECO"   
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "reRECO"   
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "reRECO"   
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "reRECO"   
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "reRECO"   
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "reRECO"   
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "reRECO"   
vector<reco::BasicJet>                "ak5CastorJets"             ""                "reRECO"   
vector<reco::BasicJet>                "ak7CastorJets"             ""                "reRECO"   
vector<reco::BasicJet>                "ak8PFJetsCHSSoftDrop"      ""                "reRECO"   
vector<reco::BasicJet>                "cmsTopTagPFJetsCHS"        ""                "reRECO"   
vector<reco::CaloCluster>             "hfEMClusters"              ""                "reRECO"   
vector<reco::CaloCluster>             "particleFlowEGamma"        "EBEEClusters"    "reRECO"   
vector<reco::CaloCluster>             "particleFlowEGamma"        "ESClusters"      "reRECO"   
vector<reco::CaloCluster>             "hybridSuperClusters"       "hybridBarrelBasicClusters"   "reRECO"   
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "multi5x5EndcapBasicClusters"   "reRECO"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALBarrel"   "reRECO"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALEndcap"   "reRECO"   
vector<reco::CaloCluster>             "particleFlowSuperClusterECAL"   "particleFlowBasicClusterECALPreshower"   "reRECO"   
vector<reco::CaloCluster>             "hybridSuperClusters"       "uncleanOnlyHybridBarrelBasicClusters"   "reRECO"   
vector<reco::CaloCluster>             "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapBasicClusters"   "reRECO"   
vector<reco::CaloJet>                 "ak4CaloJets"               ""                "reRECO"   
vector<reco::CaloMET>                 "caloMet"                   ""                "reRECO"   
vector<reco::CaloMET>                 "caloMetBE"                 ""                "reRECO"   
vector<reco::CaloMET>                 "caloMetBEFO"               ""                "reRECO"   
vector<reco::CaloMET>                 "caloMetM"                  ""                "reRECO"   
vector<reco::CaloMuon>                "calomuons"                 ""                "reRECO"   
vector<reco::CastorTower>             "CastorTowerReco"           ""                "reRECO"   
vector<reco::Conversion>              "allConversions"            ""                "reRECO"   
vector<reco::Conversion>              "conversions"               ""                "reRECO"   
vector<reco::Conversion>              "particleFlowEGamma"        ""                "reRECO"   
vector<reco::Conversion>              "uncleanedOnlyAllConversions"   ""                "reRECO"   
vector<reco::DeDxHitInfo>             "dedxHitInfo"               ""                "reRECO"   
vector<reco::ElectronSeed>            "electronMergedSeeds"       ""                "reRECO"   
vector<reco::GsfElectron>             "gedGsfElectrons"           ""                "reRECO"   
vector<reco::GsfElectron>             "uncleanedOnlyGsfElectrons"   ""                "reRECO"   
vector<reco::GsfElectronCore>         "gedGsfElectronCores"       ""                "reRECO"   
vector<reco::GsfElectronCore>         "uncleanedOnlyGsfElectronCores"   ""                "reRECO"   
vector<reco::GsfTrack>                "electronGsfTracks"         ""                "reRECO"   
vector<reco::GsfTrackExtra>           "electronGsfTracks"         ""                "reRECO"   
vector<reco::HFEMClusterShape>        "hfEMClusters"              ""                "reRECO"   
vector<reco::HcalNoiseRBX>            "hcalnoise"                 ""                "reRECO"   
vector<reco::IPTagInfo<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >,reco::JTATagInfo> >    "impactParameterTagInfos"   ""                "reRECO"   
vector<reco::IPTagInfo<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >,reco::JTATagInfo> >    "impactParameterTagInfosEI"   ""                "reRECO"   
vector<reco::IPTagInfo<vector<edm::Ptr<reco::Candidate> >,reco::JetTagInfo> >    "pfImpactParameterTagInfos"   ""                "reRECO"   
vector<reco::JPTJet>                  "JetPlusTrackZSPCorJetAntiKt4"   ""                "reRECO"   
vector<reco::Muon>                    "muons"                     ""                "reRECO"   
vector<reco::Muon>                    "muonsFromCosmics"          ""                "reRECO"   
vector<reco::Muon>                    "muonsFromCosmics1Leg"      ""                "reRECO"   
vector<reco::PFBlock>                 "particleFlowBlock"         ""                "reRECO"   
vector<reco::PFCandidate>             "particleFlow"              ""                "reRECO"   
vector<reco::PFCandidate>             "particleFlowEGamma"        ""                "reRECO"   
vector<reco::PFCandidate>             "pfIsolatedElectronsEI"     ""                "reRECO"   
vector<reco::PFCandidate>             "pfIsolatedMuonsEI"         ""                "reRECO"   
vector<reco::PFCandidate>             "particleFlowTmp"           "AddedMuonsAndHadrons"   "reRECO"   
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedCosmicsMuons"   "reRECO"   
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedFakeMuons"   "reRECO"   
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedHF"       "reRECO"   
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughMuons"   "reRECO"   
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedPunchThroughNeutralHadrons"   "reRECO"   
vector<reco::PFCandidate>             "particleFlowTmp"           "CleanedTrackerAndGlobalMuons"   "reRECO"   
vector<reco::PFCluster>               "particleFlowClusterECAL"   ""                "reRECO"   
vector<reco::PFCluster>               "particleFlowClusterHCAL"   ""                "reRECO"   
vector<reco::PFCluster>               "particleFlowClusterHO"     ""                "reRECO"   
vector<reco::PFCluster>               "particleFlowClusterPS"     ""                "reRECO"   
vector<reco::PFDisplacedVertex>       "particleFlowDisplacedVertex"   ""                "reRECO"   
vector<reco::PFJet>                   "ak4PFJets"                 ""                "reRECO"   
vector<reco::PFJet>                   "ak4PFJetsCHS"              ""                "reRECO"   
vector<reco::PFJet>                   "ak8PFJetsCHS"              ""                "reRECO"   
vector<reco::PFJet>                   "pfJetsEI"                  ""                "reRECO"   
vector<reco::PFJet>                   "ak8PFJetsCHSSoftDrop"      "SubJets"         "reRECO"   
vector<reco::PFJet>                   "cmsTopTagPFJetsCHS"        "caTopSubJets"    "reRECO"   
vector<reco::PFMET>                   "pfChMet"                   ""                "reRECO"   
vector<reco::PFMET>                   "pfMet"                     ""                "reRECO"   
vector<reco::PFMET>                   "pfMetEI"                   ""                "reRECO"   
vector<reco::PFRecHit>                "particleFlowRecHitECAL"    "Cleaned"         "reRECO"   
vector<reco::PFRecHit>                "particleFlowRecHitHO"      "Cleaned"         "reRECO"   
vector<reco::PFRecHit>                "particleFlowRecHitPS"      "Cleaned"         "reRECO"   
vector<reco::PFTau>                   "hpsPFTauProducer"          ""                "reRECO"   
vector<reco::PFTau>                   "pfTausEI"                  ""                "reRECO"   
vector<reco::PFTauTransverseImpactParameter>    "hpsPFTauTransverseImpactParameters"   "PFTauTIP"        "reRECO"   
vector<reco::Photon>                  "gedPhotons"                ""                "reRECO"   
vector<reco::Photon>                  "photons"                   ""                "reRECO"   
vector<reco::PhotonCore>              "gedPhotonCore"             ""                "reRECO"   
vector<reco::PhotonCore>              "photonCore"                ""                "reRECO"   
vector<reco::PreId>                   "trackerDrivenElectronSeeds"   "preid"           "reRECO"   
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerXClusters"   "reRECO"   
vector<reco::PreshowerCluster>        "multi5x5SuperClustersWithPreshower"   "preshowerYClusters"   "reRECO"   
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerXClustersShape"   "reRECO"   
vector<reco::PreshowerClusterShape>    "multi5x5PreshowerClusterShape"   "multi5x5PreshowerYClustersShape"   "reRECO"   
vector<reco::RecoChargedRefCandidate>    "trackRefsForJets"          ""                "reRECO"   
vector<reco::RecoEcalCandidate>       "hfRecoEcalCandidate"       ""                "reRECO"   
vector<reco::RecoTauPiZero>           "hpsPFTauProducer"          "pizeros"         "reRECO"   
vector<reco::SuperCluster>            "correctedHybridSuperClusters"   ""                "reRECO"   
vector<reco::SuperCluster>            "correctedMulti5x5SuperClustersWithPreshower"   ""                "reRECO"   
vector<reco::SuperCluster>            "hfEMClusters"              ""                "reRECO"   
vector<reco::SuperCluster>            "hybridSuperClusters"       ""                "reRECO"   
vector<reco::SuperCluster>            "multi5x5SuperClustersWithPreshower"   ""                "reRECO"   
vector<reco::SuperCluster>            "particleFlowEGamma"        ""                "reRECO"   
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "multi5x5EndcapSuperClusters"   "reRECO"   
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALBarrel"   "reRECO"   
vector<reco::SuperCluster>            "particleFlowSuperClusterECAL"   "particleFlowSuperClusterECALEndcapWithPreshower"   "reRECO"   
vector<reco::SuperCluster>            "hybridSuperClusters"       "uncleanOnlyHybridSuperClusters"   "reRECO"   
vector<reco::SuperCluster>            "multi5x5SuperClusters"     "uncleanOnlyMulti5x5EndcapSuperClusters"   "reRECO"   
vector<reco::TemplatedSecondaryVertexTagInfo<reco::IPTagInfo<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >,reco::JTATagInfo>,reco::Vertex> >    "ghostTrackVertexTagInfos"   ""                "reRECO"   
vector<reco::TemplatedSecondaryVertexTagInfo<reco::IPTagInfo<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >,reco::JTATagInfo>,reco::Vertex> >    "inclusiveSecondaryVertexFinderTagInfos"   ""                "reRECO"   
vector<reco::TemplatedSecondaryVertexTagInfo<reco::IPTagInfo<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >,reco::JTATagInfo>,reco::Vertex> >    "secondaryVertexTagInfos"   ""                "reRECO"   
vector<reco::TemplatedSecondaryVertexTagInfo<reco::IPTagInfo<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> >,reco::JTATagInfo>,reco::Vertex> >    "secondaryVertexTagInfosEI"   ""                "reRECO"   
vector<reco::TemplatedSecondaryVertexTagInfo<reco::IPTagInfo<vector<edm::Ptr<reco::Candidate> >,reco::JetTagInfo>,reco::VertexCompositePtrCandidate> >    "pfInclusiveSecondaryVertexFinderTagInfos"   ""                "reRECO"   
vector<reco::TemplatedSecondaryVertexTagInfo<reco::IPTagInfo<vector<edm::Ptr<reco::Candidate> >,reco::JetTagInfo>,reco::VertexCompositePtrCandidate> >    "pfSecondaryVertexTagInfos"   ""                "reRECO"   
vector<reco::TemplatedSoftLeptonTagInfo<edm::Ptr<reco::Candidate> > >    "softPFElectronsTagInfos"   ""                "reRECO"   
vector<reco::TemplatedSoftLeptonTagInfo<edm::Ptr<reco::Candidate> > >    "softPFMuonsTagInfos"       ""                "reRECO"   
vector<reco::Track>                   "ckfInOutTracksFromConversions"   ""                "reRECO"   
vector<reco::Track>                   "ckfOutInTracksFromConversions"   ""                "reRECO"   
vector<reco::Track>                   "conversionStepTracks"      ""                "reRECO"   
vector<reco::Track>                   "cosmicMuons"               ""                "reRECO"   
vector<reco::Track>                   "cosmicMuons1Leg"           ""                "reRECO"   
vector<reco::Track>                   "cosmicsVetoTracks"         ""                "reRECO"   
vector<reco::Track>                   "displacedGlobalMuons"      ""                "reRECO"   
vector<reco::Track>                   "displacedStandAloneMuons"   ""                "reRECO"   
vector<reco::Track>                   "displacedTracks"           ""                "reRECO"   
vector<reco::Track>                   "generalTracks"             ""                "reRECO"   
vector<reco::Track>                   "globalMuons"               ""                "reRECO"   
vector<reco::Track>                   "globalSETMuons"            ""                "reRECO"   
vector<reco::Track>                   "refittedStandAloneMuons"   ""                "reRECO"   
vector<reco::Track>                   "standAloneMuons"           ""                "reRECO"   
vector<reco::Track>                   "standAloneSETMuons"        ""                "reRECO"   
vector<reco::Track>                   "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "reRECO"   
vector<reco::Track>                   "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "reRECO"   
vector<reco::Track>                   "refittedStandAloneMuons"   "UpdatedAtVtx"    "reRECO"   
vector<reco::Track>                   "standAloneMuons"           "UpdatedAtVtx"    "reRECO"   
vector<reco::Track>                   "standAloneSETMuons"        "UpdatedAtVtx"    "reRECO"   
vector<reco::Track>                   "tevMuons"                  "default"         "reRECO"   
vector<reco::Track>                   "tevMuons"                  "dyt"             "reRECO"   
vector<reco::Track>                   "tevMuons"                  "firstHit"        "reRECO"   
vector<reco::Track>                   "impactParameterTagInfos"   "ghostTracks"     "reRECO"   
vector<reco::Track>                   "impactParameterTagInfosEI"   "ghostTracks"     "reRECO"   
vector<reco::Track>                   "pfImpactParameterTagInfos"   "ghostTracks"     "reRECO"   
vector<reco::Track>                   "tevMuons"                  "picky"           "reRECO"   
vector<reco::TrackExtra>              "ckfInOutTracksFromConversions"   ""                "reRECO"   
vector<reco::TrackExtra>              "ckfOutInTracksFromConversions"   ""                "reRECO"   
vector<reco::TrackExtra>              "conversionStepTracks"      ""                "reRECO"   
vector<reco::TrackExtra>              "cosmicMuons"               ""                "reRECO"   
vector<reco::TrackExtra>              "cosmicMuons1Leg"           ""                "reRECO"   
vector<reco::TrackExtra>              "displacedGlobalMuons"      ""                "reRECO"   
vector<reco::TrackExtra>              "displacedStandAloneMuons"   ""                "reRECO"   
vector<reco::TrackExtra>              "electronGsfTracks"         ""                "reRECO"   
vector<reco::TrackExtra>              "generalTracks"             ""                "reRECO"   
vector<reco::TrackExtra>              "globalMuons"               ""                "reRECO"   
vector<reco::TrackExtra>              "globalSETMuons"            ""                "reRECO"   
vector<reco::TrackExtra>              "refittedStandAloneMuons"   ""                "reRECO"   
vector<reco::TrackExtra>              "standAloneMuons"           ""                "reRECO"   
vector<reco::TrackExtra>              "standAloneSETMuons"        ""                "reRECO"   
vector<reco::TrackExtra>              "uncleanedOnlyCkfInOutTracksFromConversions"   ""                "reRECO"   
vector<reco::TrackExtra>              "uncleanedOnlyCkfOutInTracksFromConversions"   ""                "reRECO"   
vector<reco::TrackExtra>              "tevMuons"                  "default"         "reRECO"   
